,age_group,education,gender,nationality,electoral_district,unit,n
140,16-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,501
141,16-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,739
142,16-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,175
143,16-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,751
144,16-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,442
145,16-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,97
146,16-24,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,366
147,16-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,649
148,16-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,124
149,16-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,699
150,16-24,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,673
151,16-24,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,171
152,16-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,649
153,16-24,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,623
154,16-24,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,134
155,16-24,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,667
156,16-24,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,254
157,16-24,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,58
158,16-24,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,294
159,16-24,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,555
160,16-24,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,105
