,age_group,education,gender,nationality,electoral_district,unit,n
611,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1093
612,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,343
613,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,658
614,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,878
615,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,358
616,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,591
617,35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,2333
618,35-44,Higher education,Male,Estonian,Tartu linn,Tartu linn,2232
619,35-44,Basic education,Male,Estonian,Tartu linn,Tartu linn,969
620,35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2138
621,35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1164
622,35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1043
623,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,591
624,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,168
625,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,336
626,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1262
627,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,373
628,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,894
629,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1017
630,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,296
631,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,551
632,35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,462
633,35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,499
634,35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,86
635,35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,238
636,35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,370
637,35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,36
638,35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,121
639,35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,144
640,35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,30
641,35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1820
642,35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1270
643,35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,399
644,35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,519
645,35-44,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,403
646,35-44,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,109
647,35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,77
648,35-44,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,58
649,35-44,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,24
650,35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,74
651,35-44,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,178
652,35-44,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,8
653,35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,444
654,35-44,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,246
655,35-44,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,152
656,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,681
657,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,588
658,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,185
659,35-44,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1648
660,35-44,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,721
661,35-44,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,408
662,35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,44
663,35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,8
664,35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,40
665,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,17
666,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,7
667,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,22
668,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,30
669,35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,7
670,35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,19
671,35-44,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,84
672,35-44,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,17
673,35-44,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,63
674,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,19
675,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,4
676,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,14
677,35-44,Secondary education,Male,Other,Pärnumaa,Pärnumaa,139
678,35-44,Higher education,Male,Other,Pärnumaa,Pärnumaa,33
679,35-44,Basic education,Male,Other,Pärnumaa,Pärnumaa,51
680,35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,32
681,35-44,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,7
682,35-44,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,16
683,35-44,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,6
684,35-44,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,3
685,35-44,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
686,35-44,Secondary education,Male,Other,Tartu linn,Tartu linn,393
687,35-44,Higher education,Male,Other,Tartu linn,Tartu linn,194
688,35-44,Basic education,Male,Other,Tartu linn,Tartu linn,172
689,35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,131
690,35-44,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,47
691,35-44,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,74
692,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,50
693,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,11
694,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,39
695,35-44,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,24
696,35-44,Higher education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,5
697,35-44,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,28
698,35-44,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,28
699,35-44,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,7
700,35-44,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,10
701,35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,518
702,35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,1022
703,35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,87
704,35-44,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,797
705,35-44,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,3187
706,35-44,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,83
707,35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,515
708,35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,1326
709,35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,70
710,35-44,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,929
711,35-44,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1061
712,35-44,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,225
713,35-44,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,956
714,35-44,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,1519
715,35-44,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,173
716,35-44,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,545
717,35-44,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,1448
718,35-44,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,77
719,35-44,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,190
720,35-44,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,727
721,35-44,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,22
722,35-44,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,778
723,35-44,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,2158
724,35-44,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,136
725,35-44,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,3749
726,35-44,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,6833
727,35-44,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,696
728,35-44,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,189
729,35-44,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,151
730,35-44,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,36
731,35-44,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,471
732,35-44,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,465
733,35-44,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,111
734,35-44,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,545
735,35-44,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,366
736,35-44,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,212
737,35-44,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,673
738,35-44,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,428
739,35-44,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,297
740,35-44,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,439
741,35-44,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,336
742,35-44,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,143
743,35-44,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1176
744,35-44,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1063
745,35-44,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,492
746,35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,528
747,35-44,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,392
748,35-44,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,204
749,35-44,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,2189
750,35-44,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,1724
751,35-44,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,627
752,35-44,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,858
753,35-44,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,746
754,35-44,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,281
755,35-44,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,808
756,35-44,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,615
757,35-44,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,212
758,35-44,Secondary education,Female,Estonian,Tartu linn,Tartu linn,1602
759,35-44,Higher education,Female,Estonian,Tartu linn,Tartu linn,3678
760,35-44,Basic education,Female,Estonian,Tartu linn,Tartu linn,363
761,35-44,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1448
762,35-44,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2057
763,35-44,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,423
764,35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,502
765,35-44,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,323
766,35-44,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,207
767,35-44,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,982
768,35-44,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,786
769,35-44,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,447
770,35-44,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,745
771,35-44,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,601
772,35-44,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,245
773,35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,422
774,35-44,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,798
775,35-44,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,50
776,35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,215
777,35-44,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,631
778,35-44,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,21
779,35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,127
780,35-44,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,280
781,35-44,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,19
782,35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1791
783,35-44,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,2503
784,35-44,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,268
785,35-44,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,453
786,35-44,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,745
787,35-44,Basic education,Female,Other,Mustamäe ja Nõmme,Mustamäe,74
788,35-44,Secondary education,Female,Other,Mustamäe ja Nõmme,Nõmme,89
789,35-44,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,113
790,35-44,Basic education,Female,Other,Mustamäe ja Nõmme,Nõmme,19
791,35-44,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,61
792,35-44,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,252
793,35-44,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,3
794,35-44,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,430
795,35-44,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,527
796,35-44,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,82
797,35-44,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,654
798,35-44,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,1023
799,35-44,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,146
800,35-44,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,2
801,35-44,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,2
802,35-44,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,1476
803,35-44,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,1576
804,35-44,Basic education,Female,Other,Ida-Virumaa,Ida-Virumaa,219
805,35-44,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,35
806,35-44,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,23
807,35-44,Basic education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,11
808,35-44,Secondary education,Female,Other,Järva- ja Viljandimaa,Järvamaa,18
809,35-44,Higher education,Female,Other,Järva- ja Viljandimaa,Järvamaa,10
810,35-44,Basic education,Female,Other,Järva- ja Viljandimaa,Järvamaa,12
811,35-44,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,30
812,35-44,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,14
813,35-44,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,16
814,35-44,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,103
815,35-44,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,55
816,35-44,Basic education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,40
817,35-44,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,28
818,35-44,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,11
819,35-44,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,16
820,35-44,Secondary education,Female,Other,Pärnumaa,Pärnumaa,149
821,35-44,Higher education,Female,Other,Pärnumaa,Pärnumaa,81
822,35-44,Basic education,Female,Other,Pärnumaa,Pärnumaa,31
823,35-44,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,33
824,35-44,Higher education,Female,Other,Harju- ja Raplamaa,Raplamaa,17
825,35-44,Basic education,Female,Other,Harju- ja Raplamaa,Raplamaa,17
826,35-44,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,6
827,35-44,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2
828,35-44,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,3
829,35-44,Secondary education,Female,Other,Tartu linn,Tartu linn,334
830,35-44,Higher education,Female,Other,Tartu linn,Tartu linn,364
831,35-44,Basic education,Female,Other,Tartu linn,Tartu linn,81
832,35-44,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,110
833,35-44,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,144
834,35-44,Basic education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,32
835,35-44,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,75
836,35-44,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,22
837,35-44,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,28
838,35-44,Secondary education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,27
839,35-44,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,10
840,35-44,Basic education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,14
841,35-44,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,12
842,35-44,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,26
843,35-44,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,7
844,45-54,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,813
845,45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,644
846,45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,91
847,45-54,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1116
848,45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1437
849,45-54,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,140
850,45-54,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,725
851,45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,577
852,45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,101
853,45-54,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1026
854,45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,382
855,45-54,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,200
856,45-54,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1302
857,45-54,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,581
858,45-54,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,208
859,45-54,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,935
860,45-54,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,948
861,45-54,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,130
862,45-54,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,389
863,45-54,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,542
864,45-54,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,42
865,45-54,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1005
866,45-54,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,685
867,45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,223
868,45-54,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,5632
869,45-54,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,3270
870,45-54,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,1157
871,45-54,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,348
872,45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,93
873,45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,116
874,45-54,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,1124
875,45-54,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,297
876,45-54,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,250
877,45-54,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,1073
878,45-54,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,145
879,45-54,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,392
880,45-54,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,1076
881,45-54,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,200
882,45-54,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,418
883,45-54,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,598
884,45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,167
885,45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,330
886,45-54,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,2031
887,45-54,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,387
888,45-54,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,787
889,45-54,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,971
890,45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,144
891,45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,378
892,45-54,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,3095
893,45-54,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,720
894,45-54,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1016
895,45-54,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1346
896,45-54,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,271
897,45-54,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,552
898,45-54,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1317
899,45-54,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,253
900,45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,398
901,45-54,Secondary education,Male,Estonian,Tartu linn,Tartu linn,2500
902,45-54,Higher education,Male,Estonian,Tartu linn,Tartu linn,1621
903,45-54,Basic education,Male,Estonian,Tartu linn,Tartu linn,539
904,45-54,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2275
905,45-54,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,734
906,45-54,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,683
907,45-54,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,998
908,45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,189
909,45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,325
910,45-54,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1676
911,45-54,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,310
912,45-54,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,661
913,45-54,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1426
914,45-54,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,260
915,45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,468
916,45-54,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,334
917,45-54,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,245
918,45-54,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,40
